transaction_id,transaction_time,card_id,merchant_id,amount,is_fraud
T9103,2025-01-01 00:02:00,C00323,M0389,99.64,0
T7864,2025-01-01 00:28:00,C00948,M0354,11.59,0
T9607,2025-01-01 00:37:00,C00737,M0240,20.8,0
T809,2025-01-01 00:55:00,C01458,M0198,7.89,0
T8834,2025-01-01 00:55:00,C01808,M0409,26.99,0
T6353,2025-01-01 01:00:00,C01177,M0015,40.6,0
T1283,2025-01-01 01:00:00,C01092,M0346,35.35,0
T6036,2025-01-01 01:06:00,C00016,M0049,48.44,0
T7645,2025-01-01 01:14:00,C01529,M0194,25.54,0
T949,2025-01-01 01:17:00,C01363,M0021,16.16,0
T4009,2025-01-01 01:52:00,C00786,M0438,7.6,0
T887,2025-01-01 01:57:00,C00855,M0240,31.93,0
T1041,2025-01-01 02:06:00,C00018,M0041,40.56,0
T8493,2025-01-01 02:12:00,C00221,M0389,19.69,0
T4243,2025-01-01 02:16:00,C00831,M0241,22.71,0
T3247,2025-01-01 02:18:00,C01403,M0203,12.46,0
T9454,2025-01-01 02:28:00,C01008,M0280,26.31,0
T6521,2025-01-01 02:33:00,C01677,M0293,12.96,0
T2859,2025-01-01 02:35:00,C00263,M0270,10.92,0
T3435,2025-01-01 02:39:00,C01308,M0267,29.6,0
T2618,2025-01-01 02:42:00,C01264,M0169,122.57,0
T2290,2025-01-01 02:43:00,C00501,M0359,29.36,0
T3949,2025-01-01 02:54:00,C00726,M0031,92.24,0
T6063,2025-01-01 02:58:00,C00091,M0092,12.04,0
T4318,2025-01-01 03:12:00,C01912,M0033,9.05,0
T3000,2025-01-01 03:13:00,C00614,M0404,33.15,0
T4483,2025-01-01 03:23:00,C00396,M0384,13.47,0
T121,2025-01-01 03:26:00,C01635,M0141,8.99,0
T2124,2025-01-01 03:27:00,C00534,M0482,96.99,0
T6249,2025-01-01 03:35:00,C01924,M0032,20.53,0
T6270,2025-01-01 03:48:00,C01666,M0072,94.05,1
T7379,2025-01-01 03:49:00,C00090,M0270,69.47,0
T930,2025-01-01 03:55:00,C01499,M0202,6.33,0
T3352,2025-01-01 04:36:00,C01197,M0040,18.49,0
T1862,2025-01-01 04:41:00,C01208,M0018,2.15,0
T2770,2025-01-01 04:42:00,C01972,M0298,49.98,0
T5345,2025-01-01 04:47:00,C01583,M0397,31.84,0
T8132,2025-01-01 04:54:00,C00536,M0304,129.01,0
T312,2025-01-01 05:01:00,C00178,M0106,6.87,0
T807,2025-01-01 05:02:00,C01922,M0034,5.97,0
T4909,2025-01-01 05:07:00,C01906,M0340,12.69,0
T5366,2025-01-01 05:20:00,C01968,M0307,16.86,0
T4808,2025-01-01 05:36:00,C00608,M0272,80.43,0
T1308,2025-01-01 05:38:00,C01435,M0067,8.19,0
T3242,2025-01-01 05:40:00,C01447,M0192,23.86,0
T3248,2025-01-01 05:58:00,C00666,M0340,40.62,0
T6644,2025-01-01 06:03:00,C01631,M0159,63.91,0
T9401,2025-01-01 06:04:00,C00355,M0079,20.56,0
T9526,2025-01-01 06:04:00,C00421,M0131,82.58,0
T8350,2025-01-01 06:08:00,C01663,M0054,51.73,0
T8867,2025-01-01 06:10:00,C01656,M0016,20.69,0
T678,2025-01-01 06:24:00,C01165,M0435,67.16,0
T3981,2025-01-01 06:29:00,C00343,M0449,13.1,0
T5652,2025-01-01 06:30:00,C00530,M0309,3.7,0
T679,2025-01-01 06:44:00,C00355,M0264,23.28,0
T481,2025-01-01 06:52:00,C00595,M0485,10.94,0
T9615,2025-01-01 07:12:00,C00152,M0405,108.4,0
T7944,2025-01-01 07:33:00,C00117,M0161,3.69,0
T6151,2025-01-01 07:43:00,C01216,M0410,37.97,0
T8868,2025-01-01 08:06:00,C00689,M0014,18.83,0
T5922,2025-01-01 08:10:00,C00031,M0382,35.62,0
T3690,2025-01-01 08:12:00,C00131,M0483,24.66,0
T6493,2025-01-01 08:15:00,C00511,M0374,72.1,0
T5675,2025-01-01 08:27:00,C00146,M0234,3.5,0
T6014,2025-01-01 08:35:00,C01190,M0147,27.93,0
T1648,2025-01-01 08:46:00,C01646,M0305,11.78,0
T6628,2025-01-01 08:54:00,C00479,M0009,46.38,0
T8186,2025-01-01 09:15:00,C00664,M0139,18.74,0
T9598,2025-01-01 09:19:00,C01464,M0318,173.63,0
T9170,2025-01-01 09:20:00,C01621,M0459,6.91,0
T4580,2025-01-01 09:30:00,C00014,M0490,20.1,0
T2825,2025-01-01 09:47:00,C01065,M0227,50.35,0
T8027,2025-01-01 09:55:00,C00988,M0027,44.74,0
T1854,2025-01-01 10:19:00,C01048,M0211,29.08,0
T9653,2025-01-01 10:36:00,C00884,M0273,15.58,0
T2813,2025-01-01 10:45:00,C00109,M0400,17.34,0
T6818,2025-01-01 10:54:00,C00356,M0441,5.72,0
T1760,2025-01-01 11:01:00,C00812,M0330,28.54,0
T2115,2025-01-01 11:01:00,C00242,M0204,26.52,0
T4395,2025-01-01 11:10:00,C00245,M0063,9.84,0
T2289,2025-01-01 11:11:00,C00959,M0246,3.67,0
T9780,2025-01-01 11:11:00,C01956,M0011,58.74,0
T5314,2025-01-01 11:31:00,C00027,M0007,89.32,0
T5696,2025-01-01 11:32:00,C00499,M0439,12.81,0
T6933,2025-01-01 11:46:00,C00874,M0291,23.0,0
T4342,2025-01-01 11:57:00,C00315,M0211,154.65,0
T7974,2025-01-01 12:07:00,C00222,M0106,12.34,0
T512,2025-01-01 12:08:00,C00306,M0089,8.28,0
T6075,2025-01-01 12:11:00,C00908,M0144,8.25,0
T6727,2025-01-01 12:35:00,C01535,M0112,32.73,0
T9522,2025-01-01 12:40:00,C01555,M0465,35.94,0
T9741,2025-01-01 12:45:00,C00549,M0185,15.66,0
T7706,2025-01-01 12:47:00,C00227,M0446,22.2,0
T13,2025-01-01 12:49:00,C01974,M0105,31.79,0
T8160,2025-01-01 12:49:00,C00799,M0154,21.45,0
T2719,2025-01-01 13:01:00,C00874,M0089,17.32,1
T6529,2025-01-01 13:06:00,C01259,M0238,29.7,0
T6067,2025-01-01 13:18:00,C00299,M0001,24.66,0
T8995,2025-01-01 13:21:00,C01411,M0177,14.03,0
T1417,2025-01-01 13:26:00,C00661,M0174,32.34,0
T1024,2025-01-01 13:34:00,C00312,M0400,2.96,0
T8243,2025-01-01 13:54:00,C00826,M0188,28.18,0
T6912,2025-01-01 13:55:00,C01976,M0217,25.44,0
T9755,2025-01-01 14:00:00,C00368,M0102,20.37,1
T891,2025-01-01 14:06:00,C00011,M0323,28.61,0
T182,2025-01-01 14:14:00,C01284,M0314,7.58,0
T1,2025-01-01 14:20:00,C00939,M0398,7.89,0
T5490,2025-01-01 14:24:00,C00367,M0066,7.06,0
T9435,2025-01-01 14:25:00,C01787,M0462,96.91,0
T4158,2025-01-01 14:29:00,C01075,M0437,63.27,0
T6860,2025-01-01 14:37:00,C01282,M0458,53.11,0
T6652,2025-01-01 14:42:00,C00333,M0010,13.72,0
T4018,2025-01-01 14:47:00,C01810,M0055,13.1,0
T6088,2025-01-01 14:53:00,C01751,M0190,7.92,0
T5962,2025-01-01 15:01:00,C01286,M0110,32.42,0
T9316,2025-01-01 15:09:00,C00160,M0211,22.99,0
T9902,2025-01-01 15:16:00,C01852,M0015,30.8,0
T4585,2025-01-01 15:17:00,C01136,M0226,8.95,0
T987,2025-01-01 15:22:00,C00073,M0438,26.46,0
T5769,2025-01-01 15:24:00,C01626,M0114,25.3,0
T3185,2025-01-01 15:29:00,C01405,M0221,19.45,0
T5634,2025-01-01 15:46:00,C00648,M0448,12.46,0
T1772,2025-01-01 15:56:00,C00711,M0248,14.46,0
T8349,2025-01-01 16:08:00,C00478,M0073,18.75,0
T6455,2025-01-01 16:32:00,C00620,M0477,14.17,0
T1546,2025-01-01 16:47:00,C01244,M0301,20.03,0
T4159,2025-01-01 16:54:00,C01399,M0048,10.78,0
T662,2025-01-01 16:55:00,C00415,M0230,27.66,0
T70,2025-01-01 16:56:00,C00267,M0023,117.69,0
T7574,2025-01-01 17:24:00,C00392,M0487,13.74,0
T4901,2025-01-01 17:31:00,C00141,M0158,9.78,0
T1866,2025-01-01 17:38:00,C00316,M0471,52.9,0
T832,2025-01-01 17:42:00,C01822,M0318,2.82,0
T538,2025-01-01 17:42:00,C01642,M0486,35.68,0
T8524,2025-01-01 17:47:00,C01817,M0435,15.78,0
T5934,2025-01-01 17:53:00,C00942,M0301,4.64,0
T9788,2025-01-01 17:54:00,C01282,M0030,35.49,0
T5833,2025-01-01 17:59:00,C01171,M0109,34.65,0
T2855,2025-01-01 18:09:00,C00521,M0265,9.29,0
T8689,2025-01-01 18:22:00,C00884,M0245,13.77,0
T8881,2025-01-01 18:25:00,C00517,M0329,4.09,0
T2797,2025-01-01 18:45:00,C00160,M0419,11.77,0
T6076,2025-01-01 18:49:00,C00870,M0329,40.77,0
T7566,2025-01-01 18:52:00,C01102,M0105,8.67,0
T4131,2025-01-01 18:54:00,C01408,M0015,44.7,0
T3278,2025-01-01 19:00:00,C01948,M0413,12.99,0
T395,2025-01-01 19:10:00,C01709,M0243,29.81,0
T5348,2025-01-01 19:21:00,C00439,M0066,21.19,0
T6995,2025-01-01 19:28:00,C01418,M0473,31.1,0
T1966,2025-01-01 19:37:00,C01640,M0490,17.68,0
T5726,2025-01-01 19:44:00,C01768,M0433,60.94,0
T9300,2025-01-01 19:55:00,C00347,M0340,18.4,0
T3291,2025-01-01 20:07:00,C01238,M0274,3.69,0
T7378,2025-01-01 20:11:00,C01714,M0331,57.16,0
T8259,2025-01-01 20:14:00,C01709,M0132,30.02,0
T1877,2025-01-01 20:39:00,C00485,M0355,4.87,0
T8324,2025-01-01 20:42:00,C01856,M0070,67.76,0
T9383,2025-01-01 20:45:00,C00864,M0157,96.21,0
T727,2025-01-01 20:52:00,C00254,M0334,13.32,0
T6699,2025-01-01 21:09:00,C00190,M0464,4.17,0
T1191,2025-01-01 21:19:00,C00837,M0309,15.08,0
T2795,2025-01-01 21:23:00,C01092,M0099,15.85,0
T6602,2025-01-01 21:39:00,C00152,M0150,20.99,0
T6334,2025-01-01 21:41:00,C01462,M0003,45.25,0
T4071,2025-01-01 21:46:00,C00948,M0435,3.21,0
T3273,2025-01-01 21:47:00,C01659,M0106,14.27,0
T9172,2025-01-01 21:52:00,C01753,M0026,58.43,0
T8177,2025-01-01 21:53:00,C01388,M0411,45.2,0
T573,2025-01-01 22:04:00,C00367,M0193,32.32,0
T1306,2025-01-01 22:21:00,C01715,M0001,28.78,0
T921,2025-01-01 22:22:00,C01868,M0185,16.56,0
T8719,2025-01-01 22:33:00,C00095,M0071,72.67,0
T9701,2025-01-01 22:39:00,C01978,M0265,4.67,0
T1944,2025-01-01 22:47:00,C00756,M0462,42.06,0
T5920,2025-01-01 22:55:00,C00561,M0370,4.69,0
T5967,2025-01-01 22:58:00,C01749,M0156,9.82,0
T9264,2025-01-01 22:59:00,C01724,M0402,6.0,0
T3390,2025-01-01 23:01:00,C01663,M0181,19.32,0
T3577,2025-01-01 23:21:00,C00349,M0066,25.02,0
T9330,2025-01-01 23:23:00,C01398,M0393,54.47,0
T7036,2025-01-01 23:27:00,C01653,M0033,36.58,0
T2613,2025-01-01 23:51:00,C01872,M0233,4.67,0
T1554,2025-01-01 23:55:00,C01265,M0228,33.33,0
T6121,2025-01-02 00:22:00,C01092,M0260,5.62,0
T5997,2025-01-02 00:22:00,C01735,M0016,6.3,1
T5587,2025-01-02 00:26:00,C01399,M0396,98.84,0
T7695,2025-01-02 00:28:00,C01133,M0419,14.24,0
T3989,2025-01-02 00:41:00,C00848,M0118,16.21,0
T9859,2025-01-02 01:02:00,C01013,M0411,127.57,0
T9694,2025-01-02 01:09:00,C01022,M0397,76.12,0
T6095,2025-01-02 01:15:00,C01729,M0273,7.15,0
T1277,2025-01-02 01:24:00,C00765,M0355,32.02,0
T7820,2025-01-02 01:24:00,C01469,M0459,8.62,0
T7604,2025-01-02 01:37:00,C01103,M0137,41.12,0
T3944,2025-01-02 01:38:00,C01391,M0161,42.78,0
T5661,2025-01-02 01:39:00,C01362,M0009,17.94,0
T8156,2025-01-02 01:41:00,C00304,M0048,35.38,0
T555,2025-01-02 01:42:00,C00835,M0259,31.94,0
T6498,2025-01-02 01:52:00,C01938,M0351,33.49,0
T9550,2025-01-02 01:59:00,C01653,M0212,12.42,0
T1745,2025-01-02 02:00:00,C00011,M0474,11.02,0
T6108,2025-01-02 02:17:00,C00877,M0096,6.42,0
T7578,2025-01-02 02:22:00,C00909,M0385,8.51,0
T8754,2025-01-02 02:27:00,C00941,M0454,4.59,1
T5040,2025-01-02 02:27:00,C00071,M0376,19.29,0
T3433,2025-01-02 02:29:00,C01578,M0302,17.3,0
T1499,2025-01-02 02:31:00,C00107,M0354,5.98,0
T9573,2025-01-02 02:37:00,C00960,M0032,5.58,0
T867,2025-01-02 02:45:00,C00868,M0402,9.91,0
T6078,2025-01-02 02:45:00,C00752,M0405,3.41,0
T5217,2025-01-02 02:49:00,C01956,M0269,3.94,0
T7583,2025-01-02 03:00:00,C00269,M0224,65.15,0
T1228,2025-01-02 03:02:00,C01663,M0227,31.52,0
T4763,2025-01-02 03:10:00,C01479,M0391,69.37,0
T1056,2025-01-02 03:25:00,C01062,M0167,25.92,0
T2548,2025-01-02 03:31:00,C00096,M0089,30.65,0
T5159,2025-01-02 03:37:00,C00805,M0193,47.84,0
T6673,2025-01-02 03:54:00,C01796,M0448,6.81,0
T9327,2025-01-02 04:15:00,C01547,M0069,2.76,0
T4256,2025-01-02 04:20:00,C01250,M0027,16.33,0
T3281,2025-01-02 04:28:00,C01138,M0492,46.26,0
T9277,2025-01-02 04:45:00,C01878,M0431,63.19,0
T8124,2025-01-02 04:57:00,C01809,M0157,48.56,0
T1313,2025-01-02 05:10:00,C00243,M0367,20.29,0
T9455,2025-01-02 05:14:00,C01842,M0231,165.06,0
T9947,2025-01-02 05:16:00,C01897,M0231,47.52,0
T1106,2025-01-02 05:19:00,C01210,M0109,10.62,0
T7905,2025-01-02 05:39:00,C01184,M0051,29.53,0
T9347,2025-01-02 05:49:00,C00903,M0302,91.58,0
T221,2025-01-02 06:02:00,C00719,M0101,19.38,0
T4090,2025-01-02 06:13:00,C00043,M0061,34.47,0
T5202,2025-01-02 06:14:00,C01818,M0118,15.61,0
T906,2025-01-02 06:28:00,C00606,M0014,50.19,0
T8325,2025-01-02 06:31:00,C00045,M0227,30.8,0
T7559,2025-01-02 06:49:00,C01175,M0149,65.21,0
T8715,2025-01-02 07:15:00,C01003,M0385,15.97,0
T5246,2025-01-02 07:21:00,C00015,M0074,66.71,0
T4761,2025-01-02 07:21:00,C01155,M0397,37.45,0
T7349,2025-01-02 07:33:00,C01978,M0447,20.07,0
T5594,2025-01-02 07:33:00,C01958,M0443,2.26,0
T2772,2025-01-02 07:38:00,C00620,M0148,13.47,0
T7879,2025-01-02 07:46:00,C00597,M0150,30.1,0
T8505,2025-01-02 07:49:00,C00034,M0195,71.0,0
T907,2025-01-02 07:57:00,C01058,M0323,13.42,0
T4298,2025-01-02 08:00:00,C00631,M0395,13.95,0
T4100,2025-01-02 08:00:00,C01356,M0278,4.14,0
T1719,2025-01-02 08:05:00,C01031,M0331,6.03,0
T3232,2025-01-02 08:12:00,C01282,M0334,27.53,0
T6649,2025-01-02 08:16:00,C00307,M0445,3.25,0
T8020,2025-01-02 08:31:00,C01441,M0029,65.01,0
T4921,2025-01-02 08:41:00,C00877,M0052,23.31,0
T1893,2025-01-02 08:49:00,C01775,M0233,3.43,0
T1619,2025-01-02 09:00:00,C00564,M0456,88.57,0
T9794,2025-01-02 09:06:00,C00631,M0381,48.27,0
T7370,2025-01-02 09:06:00,C01333,M0253,69.6,0
T4993,2025-01-02 09:07:00,C00721,M0354,39.98,0
T4044,2025-01-02 09:08:00,C00683,M0082,115.99,0
T6610,2025-01-02 09:16:00,C00954,M0497,48.47,0
T3177,2025-01-02 09:31:00,C01647,M0115,52.06,0
T7735,2025-01-02 09:33:00,C00757,M0271,1.8,0
T9443,2025-01-02 09:35:00,C00580,M0248,25.02,0
T7951,2025-01-02 09:37:00,C00073,M0415,76.21,0
T2503,2025-01-02 09:43:00,C00966,M0145,63.9,0
T5556,2025-01-02 09:55:00,C00389,M0495,43.19,0
T7172,2025-01-02 10:02:00,C00986,M0011,59.94,0
T234,2025-01-02 10:09:00,C01475,M0188,23.34,0
T1400,2025-01-02 10:10:00,C00679,M0237,37.03,1
